,Song Title,Artists,Producers,Genius ViewCount,Song Rank,Year,Lyrics
0,21 Guns,"('Green Day',)","['Green Day', 'Butch Vig']",271799,78,2009,"[Verse 1]
Do you know what's worth fighting for
When it's not worth dying for?
Does it take your breath away
And you feel yourself suffocating?
Does the pain weigh out the pride?
And you look for a place to hide?
Did someone break your heart inside?
You're in ruins

[Chorus]
One, twenty-one guns
Lay down your arms
Give up the fight
One, twenty-one guns
Throw up your arms into the sky
You and I

[Verse 2]
When you're at the end of the road
And you lost all sense of control
And your thoughts have taken their toll
When your mind breaks the spirit of your soul
Your faith walks on broken glass
And the hangover doesn't pass
Nothing's ever built to last
You're in ruins

[Chorus]
One, twenty-one guns
Lay down your arms
Give up the fight
One, twenty-one guns
Throw up your arms into the sky
You and I

[Bridge]
Did you try to live on your own
When you burned down the house and home?
Did you stand too close to the fire
Like a liar looking for forgiveness from a stone?

[Guitar Solo]

[Verse 3]
When it's time to live and let die
And you can't get another try
Something inside this heart has died
You're in ruins

[Chorus]
One, twenty-one guns
Lay down your arms
Give up the fight
One, twenty-one guns
Throw up your arms into the sky
One, twenty-one guns
Lay down your arms
Give up the fight
One, twenty-one guns
Throw up your arms into the sky
You and I"
1,3,"('Britney Spears',)","['Shellback', 'Max Martin']",81714,87,2009,"[Intro]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting
1, 2, 1, 1, 1, 2, 3
Counting
1, 2
Counting
1, 2, 3

[Verse 1]
Babe, pick a night to come out and play
If it's alright
What do you say?
Merrier the more
Triple fun that way
Twister on the floor
What do you say?

[Pre-Chorus]
Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh

[Verse 2]
Three is a charm
Two is not the same
I don't see the harm
So are you game?
Let's make a team
Make them say my name
Loving the extreme
Now are you game?

[Pre-Chorus]
Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh

[Bridge]
What we do is innocent
Just for fun and nothing meant
If you don't like the company
Let's just do it, you and me
You and me, or three
Or four, on the floor

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh"
2,Already Gone,"('Kelly Clarkson',)",['Ryan Tedder'],32066,95,2009,"[Verse 1]
Remember all the things we wanted
Now all our memories, they're haunted
We were always meant to say goodbye
Even with our fists held high
It never would've worked out right, yeah
We were never meant for do or die

[Interlude]
I didn't want us to burn out
I didn't come here to hurt you, now I can't stop

[Chorus]
I want you to know that it doesn't matter
Where we take this road
Someone's gotta go
And I want you to know you couldn't have loved me better
But I want you to move on, so I'm already gone

[Verse 2]
Looking at you makes it harder
But I know that you'll find another
That doesn't always make you wanna cry
It started with a perfect kiss then
We could feel the poison set in
""Perfect"" couldn't keep this love alive
You know that I love you so, I love you enough to let you go

[Chorus]
I want you to know that it doesn't matter
Where we take this road
Someone's gotta go
And I want you to know you couldn't have loved me better
But I want you to move on, so I'm already gone

[Post-Chorus]
I'm already gone, already gone
You can't make it feel right when you know that it's wrong
I'm already gone, already gone
There's no moving on, so I'm already gone

[Bridge]
Ahh, already gone, already gone, already gone (Ooh, oh)
Ahh, already gone, already gone, already gone, yeah

[Verse 3]
Remember all the things we wanted
Now all our memories, they're haunted
We were always meant to say goodbye

[Chorus]
I want you to know that it doesn't matter
Where we take this road
Someone's gotta go
And I want you to know you couldn't have loved me better
But I want you to move on, so I'm already gone

[Outro]
I'm already gone, already gone
You can't make it feel right when you know that it's wrong
I'm already gone, already gone
There's no moving on, so I'm already gone"
3,Battlefield,"('Jordin Sparks',)","['The Runaways (Producers)', 'Sam Watters', 'Ryan Tedder']",21851,57,2009,"[Verse 1]
Don't try to explain your mind, I know what's happening here
One minute it's love and suddenly it's like a battlefield
One word turns into war
Why is it the smallest things that tear us down?
My world's nothing when you're gone
I'm out here without a shield
Can't go back now

[Pre-Chorus]
Both hands tied behind my back for nothing
Oh no
These times when we climb so fast to fall again
Why we gotta fall for it now?

[Chorus]
I never meant to start a war
You know I never wanna hurt you
Don't even know what we're fighting for
Why does love always feel like...
A battlefield (Battlefield)
A battlefield (Battlefield)
A battlefield (Battlefield)
Why does love always feel like...
A battlefield (Battlefield)
A battlefield (Battlefield)
A battlefield (Battlefield)
Why does love always feel like...

[Verse 2]
Can't swallow our pride, neither of us wanna raise that flag
If we can't surrender, then we both gonna lose what we had
Oh no

[Pre-Chorus]
Both hands tied behind my back for nothing (Nothing)
Oh no
These times when we climb so fast to fall again
I don't wanna fall for it now

[Chorus]
I never meant to start a war
You know I never wanna hurt you
Don't even know what we're fighting for
Why does love always feel like...
A battlefield (Battlefield)
A battlefield (Battlefield)
A battlefield (Battlefield)
Why does love always feel like
A battlefield (Battlefield)
A battlefield (Battlefield)
A battlefield (Battlefield)

[Post-Chorus]
I guess you better go and get your armor (Get your armor)
Get your armor (Get your armor)
I guess you better go and get your armor (Get your armor)
Get your armor (Get your armor)
I guess you better go and get your...

[Bridge]
We could pretend that we are friends tonight (Oh)
And in the morning, we'd wake up and we'd be alright
'Cause baby, we don't have to fight
And I don't want this love to feel like...

[Chorus]
A battlefield (Oh)
A battlefield (Oh)
A battlefield (Oh)
Why does love always feel like...
A battlefield (Oh)
A battlefield (Oh)
A battlefield (Oh)
Guess you better go and get your armor

[Chorus]
I never meant to start a war (Start a war)
You know I never wanna hurt you
Don't even know what we're fighting for
(What are we fighting for?)
Why does love always feel like...
A battlefield (Oh)
A battlefield (Oh)
A battlefield (Oh)
Why does love always feel like...
A battlefield (Oh)
A battlefield (Oh)
A battlefield (Oh)

[Post-Chorus]
I guess you better go and get your armor (Get your armor)
Get your armor (Get your armor)
I guess you better go and get your armor (Get your armor)
Get your armor (Get your armor)

[Chorus]
Why does love always feel like...
Ohh
Why does love always feel like...
A battlefield (Oh)
A battlefield (Oh)

[Outro]
I never meant to start a war
Don't even know what we're fighting for
I never meant to start a war
Don't even know what we're fighting for"
4,Beautiful,"('Akon', ""Colby O'Donis"", 'Kardinal Offishall')",['Akon'],92351,54,2009,"[Verse 1: Akon]
When I see you
I run out of words, to say (ahh)
I wouldn't leave you
Cause you're that type of girl to make me stay (ahh)
I see the guys tryin' to holla
Girl, I don't wanna bother you
Cause you're independent, and you got my attention
Can I be yo' baby father?
Girl, I just wanna show you
That I love what you are doin' now

[Hook: Akon]
I see you in the club, you gettin down, girl
I wanna get with you, yeah
I see you in the club, you showin thugs love
I wanna get with you
You're so beautiful, so damn beautiful
Said you're so beautiful, so damn beautiful
You're so beautiful, beautiful, beautiful, beautiful
You're so beautiful, beautiful, beautiful, beautiful
You're so beautiful

[Verse 2: Colby O'Donis]
Like the clouds you drift me away
Far away, yeah
And like the sun you, brighten my day
You brighten my day, yeah
I never wanna see you cry, cry, cry
And I never wanna tell a lie, lie, lie
Said I never wanna see you cry, cry, cry
And I never wanna tell a lie, lie, lie

[Hook: Akon]
I see you in the club, you gettin down, girl
I wanna get with you, yeah
I see you in the club, you showin thugs love
I wanna get with you
You're so beautiful, so damn beautiful
Said you're so beautiful, so damn beautiful
You're so beautiful, beautiful, beautiful, beautiful
You're so beautiful, beautiful, beautiful, beautiful
You're so beautiful

[Verse 3: Kardinal Offishall]
Kardinal told you (you) what is it, sky blue or yellow
This fellow ain't that mellow if it ain't about you (you)
Hourglass shape make the place go ""oooh""
Waistline makes my soldier salute
I'm a brute (brute) high from ya high heel game
High heels push up ya ass last name
And you livin in the fast lane, eyes like an angel
Goddess, watch my girl and how she hot dress
Spotless, hotness bad to the bone
Make me wanna bone, put me in a triple-X zone (zone)
Lames don't know how to talk to you
So let me walk, with you, hold my hand
I'mma spend them grands but after you undress
Not like a hooker, but more like a princess
Queen, empress, president pull
Any way ya goin' off cause you're beautiful, okay?

[Hook: Akon]
I see you in the club, you gettin down, girl
I wanna get with you, yeah
I see you in the club, you showin thugs love
I wanna get with you
You're so beautiful, so damn beautiful
Said you're so beautiful, so damn beautiful
You're so beautiful, beautiful, beautiful, beautiful
You're so beautiful, beautiful, beautiful, beautiful
You're so beautiful"
5,Best I Ever Had,"('Drake',)",['Boi-1da'],1292340,22,2009,"[Intro]
You know, a lot of girls be
Thinkin' my songs are about them
This is not to get confused
This one's for you

[Chorus]
Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin'

[Verse 1]
Know you got a roommate, call me when there's no one there
Put the key under the mat and you know I be over there (Yup)
I be over there, shawty, I be over there
I be hittin' all the spots that you ain't even know was there
And you don't even have to ask twice
You could have my heart or we could share it like the last slice
Always felt like you was so accustomed to the fast life
Have a nigga thinkin' that he met you in a past life
Sweatpants, hair tied, chillin' with no make-up on
That's when you're the prettiest
I hope that you don't take it wrong
You don't even trip when friends say
""You ain't bringin' Drake along?""
You know that I'm workin', I'll be there soon as I make it home
And she a patient in my waiting room
Never pay attention to the rumors and what they assume
And until them girls prove it
I'm the one that never get confused with, 'cause

[Chorus]
Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin'

[Verse 2]
Sex, Love, Pain, baby, I be on that Tank shit
Buzz so big I could probably sell a blank disc
When my album drop, bitches'll buy it for the picture
And niggas'll buy it too and claim they got it for they sister
Magazine paper, girl, the money ain't the issue
They bring dinner to my room and ask me to initial
She call me the referee 'cause I be so official
My shirt ain't got no stripes, but I can make your pussy whistle
Like the Andy Griffith theme song
And who told you to put them jeans on?
Double cup love, you the one I lean on
Feelin' for a fix, then you should really get your fiend on
Yeah, just know my condo is the crack spot
Every single show, she out there reppin' like a mascot
Get it from the back and make your fuckin' bra strap pop
All up in your slot 'til a nigga hit the jackpot, I'm saying

[Chorus]
Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had

[Outro]
Uhh, ah yeah
See, this the type of joint you gotta dedicate to somebody
Just make sure they that special somebody
Young Money, yeah, yeah
You know who you are
I got you"
6,Big Green Tractor,"('Jason Aldean',)",['Michael Knox'],50803,75,2009,"[Verse 1]
She had a shiny little Beamer with the ragtop down
Sittin' in the drive but she wouldn't get out
The dogs were all barkin' and a-waggin' around
And I just laughed and said ""Y'all get in""

[Verse 2]
She had on a new dress and she'd curled her hair
She was lookin' too good not to go somewhere
Said what you want to do, baby, I don't care
We can go to the show, or we can stay right here

[Chorus]
And I can take you for a ride on my big green tractor
We can go slow or make it go faster
Down through the woods and out to the pasture
Long as I'm with you it really don't matter
Climb up in my lap and drive if you want to
Girl, you know you got me to hold on to
We can go to town but baby, if you'd rather
I'll take you for a ride on my big green tractor

[Verse 3]
Said we can fire it up and I can show you around
Sit up on the hill and watch the sun go down
When the fireflies are dancin' and the moon comes out
We can turn on the lights and head back to the house

[Chorus]
Or we can take another ride on my big green tractor
We can go slow or make it go faster
Down through the woods and out to the pasture
Long as I'm with you it really don't matter
Climb up in my lap and drive if you want to
Girl you know you got me to hold on to
We can go to town but, baby, if you'd rather
I'll take you for a ride on my big green tractor

[Bridge]
Just let me dust off the seat
Put your pretty little arms around me, hell yeah

[Guitar Solo]

[Chorus]
You can climb up in my lap and drive if you want to
Girl you know you got me to hold on to
We can go to town or baby if you'd rather
I'll take you for a ride on my big green tractor

[Outro]
Oh, yeah
We can go to town
Or we can go another round
On my big green tractor"
7,Birthday Sex,"('Jeremih',)","['Jeremih', 'Mick Schultz']",322565,37,2009,"[Verse 1]
It's your birthday so I know you want to ride out
Even if we only go to my house
Sip mo-eezy as we sit upon my couch
Feels good, but I know you want to
Cry out
You say you want passion
I think you found it
Get ready for action
Don't be astounded
We switching positions
You feel surrounded
Tell me where you want
Your gift, girl

[Hook]
Girl you know I-I-I
Girl you know I-I-I
I've been fiending
Wake up in the late nigh dreaming about you
Girl you know I-I-I
Girl you know I-I-I
Don't need candles or cake
Just need your body to make
Birthday sex
Birthday sex
It's the best day of the year, girl
Birthday sex
Birthday sex
It feels like, feels like
Lemme hit that G-spot, G-spot

[Verse 2]
See you sexy and them jeans got me on tent
1-2-3, think I got you pinned
Don't tap out - fight until the end
Ring that bell; we gon start over again
We grinding with passion 'cause it's yo birthday
Been at it for hours, I know you thirsty
You kiss me so sweetly, taste just like Hershey's
Just tell me how you want your gift, girl

[Hook]
Girl you know I-I-I
Girl you know I-I-I
I've been fiending
Wake up in the late nigh dreaming about you
Girl you know I-I-I
Girl you know I-I-I
Don't need candles or cake
Just need your body to make
Birthday sex
Birthday sex
It's the best day of the year, girl
Birthday sex
Birthday sex
It feels like, feels like
Lemme hit that G-spot, G-spot

[Verse 3]
First I'm gonna take a dive into the water
Deep until I know I pleased that body body
Or girl without a broom
I might just sweep you off your feet
And make you wanna tell somebody body
How I do
Or maybe we can float on top my water bed?
You close your eyes as I improv' between your legs
We work our way from kitchen stoves, and tables
Girl you know I'm more than able to please, yeah
Say you wanted flowers on the bed
But you got me and hours on the bed

[Hook]
Girl you know I-I-I
Girl you know I-I-I
I've been fiending
Wake up in the late nigh dreaming about you
Girl you know I-I-I
Girl you know I-I-I
Don't need candles or cake
Just need your body to make
Birthday sex
Birthday sex
It's the best day of the year, girl
Birthday sex
Birthday sex
It feels like, feels like
Lemme hit that G-spot, G-spot"
8,Blame It,"('Jamie Foxx', 'T-Pain')",['Christopher “Deep” Henderson'],90320,16,2009,"[Intro: Jamie Foxx]
Deep
Blame it on the Goose, gotcha feelin' loose
Blame it on the 'Trón, got you in the zone
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-a-a-alcohol

[Verse 1: Jamie Foxx]
Aye, she said she usually don't
But I know that she front
Cause shawty know what she want
But she don't wanna to seem like she easy
I hear you saying what you won't do
But you know we're probably gon' do
What you been fiendin' deep insi-i-i-ide
Don't let u-u-up now

[Pre-Chorus: Jamie Foxx]
Girl what you drinkin'? Gon' let it sink in
Here for the weekend, thinkin' we can
See where we could be if we press fast forward
Just one more round and you're down, I know it
Fill another cup up, feelin' on your butt, what
You don't even care now, I was unaware how
Fine you was before my buzz set in
My buzz set in

[Chorus: Jamie Foxx]
Blame it on the Goose, gotcha feelin' loose
Blame it on the 'Trón, got you in the zone
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-alcohol
Blame it on the vodka, blame it on the Henny
Blame it on the blue tap got you feeling dizzy
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-a-a-alcohol

[Verse 2: Jamie Foxx]
Ooh see, she spilled some drink on me
And now I'm knowin' she tipsy
She put her body on me
And she keeps staring me right in my eyes
No tellin' what I'm gon' do
Baby I would rather show you
What you been missin' in your li-i-i-ife
When I get insi-i-i-ide

[Pre-Chorus: Jamie Foxx]
Girl what you drinkin'? Gon' let it sink in
Here for the weekend, thinkin' we can
See where we could be if we press fast forward
Just one more round and you're down, I know it
Fill another cup up, feelin' on your butt, what
You don't even care now, I was unaware how
Fine you was before my buzz set in
My buzz set in

[Chorus: Jamie Foxx & T-Pain]
Blame it on the Goose, gotcha feelin' loose
Blame it on the 'Trón, got you in the zone
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-alcohol
Blame it on the vodka, blame it on the Henny
Blame it on the blue tap got you feeling dizzy
Blame it on the a-a-a-a-a-alcohol (Uh-huh, T-Pain)
Blame it on the a-a-a-a-a-a-a-a-a-alcohol

[Verse 3: T-Pain]
Girl, I know you feel good, just like you look
Couple more shots, you open up like a book
I ain't trippin (Cause I'ma read ya)
Shawty I ain't trippin' (I just wanna please ya)
I'ma take a shot of Nuvo, shawty then you know
It's going down, we can go and kick it like judo
You know what I mean
Shawty got drunk, thought it all was a dream
So I made her say ah, ah-ah
Now she got her hand on my leg
Got my seats all wet in my ride (All wet in my ride)
All over my ride (All over my ride)
She look me dead in the eye, eye-eye
Then my pants got bigger, she already knew what to figure
Had her lookin' at her boyfriend like, ""Fuck that nigga!""

[Chorus: Jamie Foxx]
Blame it on the Goose, gotcha feelin' loose
Blame it on the 'Trón, got you in the zone
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-alcohol
Blame it on the vodka, blame it on the Henny
Blame it on the blue tap got you feeling dizzy
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-a-a-alcohol

[Bridge: Jamie Foxx]
Now to the ballers poppin' bottles with they Henny in they cups
Screamin', ""Money ain't a thang"", if it ain't, throw it up
In the sky (In the sky)
And hold your drinks up high (High)
And to my independent mamas who can buy they own bottles
If you lookin' like a model, when them broke fellas holla
Tell 'em, ""Bye"" (Bye)
And hold your drinks up high

[Chorus: Jamie Foxx]
You can blame it on the Goose, gotcha feelin' loose
Blame it on the 'Trón, got you in the zone
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-alcohol
Blame it on the vodka, blame it on the Henny
Blame it on the blue tap got you feeling dizzy
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-a-a-alcohol"
9,Boom Boom Pow,"('The Black Eyed Peas',)",['will.i.am'],119198,1,2009,"[Album Intro]
Welcome
Welcome to The E.N.D
Do not panic, there is nothing to fear
Everything around you is changing
Nothing stays the same
This version of myself is not permanent
Tomorrow, I will be different
The Energy Never Dies
Energy cannot be destroyed, or created
It always is, and it always will be
This is the end, and the beginning..
Forever infinite
Welcome

[Intro: will.i.am]
Gotta get that, gotta get that
Gotta get that
Gotta get that, that, that, that-that

[Chorus: will.i.am]
(Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
That (Boom boom boom)
That (Boom boom boom)
(Boom boom boom)

[Verse 1: will.i.am]
Yo, I got that hit to beat the block
You can get that bass on below
I got that rock'n'roll, that future flow
That digital spit, next level visual shit
I got that (Boom boom boom)
How the beat bang? (Boom boom boom)

[Pre-Chorus: Fergie]
I like that boom boom pow
Them chickens jacking my style
They try to copy my swagger
I'm on that next shit now
I'm so three thousand and eight
You so two thousand and late
I got that boom boom boom
That future boom boom boom
Let me get it now

[Chorus: will.i.am]
(Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
That (Boom boom boom)
That (Boom boom boom)
(Boom boom boom)

[Verse 2: Taboo]
I'm on that supersonic boom, y'all hear that spaceship (Zoom!)
When I step inside the room, them girls go apeshit, mmm
Y'all stuck on Super 8 shit, that lo-fi stupid 8-bit
I'm on that HD flat, this beat go boom-boom-bap

[Verse 3: apl.de.ap]
I'm a beast when you turn me on
Into the future, cybertron
Harder, faster, better, stronger
Sexy ladies, extra longer
'Cause we got the beat that bounce
We got the beat that pound
We got the beat, that 808
That boom boom in your town

[Breakdown: Fergie]
People in the place
If you wanna get down (uh)
Put your hands in the air
​will.i.am., drop the beat now!

[Interlude 1: will.i.am]
Yup, yup
I be rockin' them beats!
Yup, yup
I be rockin' them beats!
Y-yup, yup, yup, ha, ha, ha

[Verse 4: will.i.am]
Here we go, here we go, satellite radio
Y'all gettin' hit wit' the (Boom, boom!)
Beats so big, I'm stepping on leprechauns
Shitting on y'all wit' the (Boom, boom!)
Shitting on y'all wit' the (boom, boom!)
Shitting on y'all wit' the
This beat be bumping, bumping
This beat go boom boom!

[Interlude 2]
Let the beat rock
Let the beat rock
Let the beat rock
This beat be bumping, bumping
This beat go boom boom!

[Pre-Chorus: Fergie]
I like that boom boom pow
Them chickens jacking my style
They try to copy my swagger
I'm on that next shit now
I'm so three thousand and eight
You so two thousand and late
I got that boom boom boom
That future boom boom boom
Let me get it now

[Chorus: will.i.am]
(Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
Gotta get that (Boom boom boom)
That (Boom boom boom)
That (Boom boom boom)
(Boom boom boom)

[Outro]
Let the beat rock (Let the beat rock)
Let the beat rock (Let the beat...)
Let the beat rock (Let the beat rock, rock, rock...)"
