,Song Title,Artists,Producers,Genius ViewCount,Song Rank,Year,Lyrics
0,0 To 100 / The Catch Up,"('Drake',)","['Frank Dukes', 'Boi-1da', '40', 'Nineteen85']",3555182,97,2014,"[Produced by Boi-1da, Frank Dukes, Noah ""40"" Shebib, & Nineteen85]

[Part I: 0 to 100]

[Verse 1]
Fuck bein' on some chill shit
We go 0 to 100, nigga, real quick
They be on that rap-to-pay-the-bills shit
And I don't feel that shit, not even a little bit
Oh, Lord, know yourself, know your worth, nigga
My actions been louder than my words, nigga
How you so high, but still so down to Earth, nigga?
If niggas wanna do it, we can do it on they turf, nigga
Oh, Lord, I'm the rookie and the vet
Shoutout to the bitches out here holdin' down the set
All up in my phone, lookin' at pictures from the other night
She gon' be upset if she keep scrollin' to the left, dawg
She gon' see some shit that she don't wanna see
She ain't ready for it
If I ain't the greatest, then I'm headed for it
That mean I'm way up (Way up)
Yeah, the 6 ain't friendly but that's where I lay up
This shit a mothafuckin' lay-up
I been Steph Curry with the shot
Been cookin' with the sauce, Chef Curry with the pot, boy
360 with the wrist, boy
Ayy, who the fuck them niggas is, boy?
OVO, man, we really with the shits, boy
Yeah, really with the shits
I should prolly sign to Hit-Boy 'cause I got all the hits, boy
Fuck all that ""Drake, you gotta chill"" shit
I be on my Lil Mouse drill shit
Fuck all that rap-to-pay-your-bills shit
Yeah, I'm on some Raptors-pay-my-bills shit
All up on TV, I thought it'd make me richer
Wasn't payin' me enough, I needed somethin' quicker
So now I'm all in Niko basement puttin' work in on the phones
Either that or drive to Money Mart to make the pickups
Man, it's 2008, I'm tryna paint the picture
Comeback Season in the works and now I'm thinkin' bigger
I got 40 in the studio, every night, late night
Gotta watch that shit, don't want to make him sicker
That's my nigga
Oh, Lord, got a whole lot to show for it
I mean, we can really get it, we can go for it
I'm just here for the bucks and the billis, nigga
Don't make me kill one of the GOATs for it
I run this shit, they like, ""Go Forrest
Run Forrest, run Forrest, go Forrest""
Yeah, I mean you already wrote for us
Damn, nigga, what's one more quote for us?
Oh, Lord, who else soundin' like this?
They ain't make me what I am, they just found me like this
I was ready... fuck that, I've been ready
Since my dad used to tell me
He was comin' to the house to get me
He ain't show up
Valuable lesson, man, I had to grow up
That's why I never ask for help
I'll do it for you niggas and do it for myself

[Outro]
I go 0 to 100, nigga, real quick
Real quick, whole squad on that real shit
0 to 100, nigga, real quick
Real quick, real fuckin' quick, nigga
0 to 100, nigga, real quick
Real quick, whole squad on that real shit
0 to 100, nigga, real quick
Real quick, real fuckin' quick, nigga

[Part II: The Catch Up]

[Bridge]
Whole squad on that real shit
Whole squad on that real shit
Whole squad on that real shit, yeah

[Verse 2]
The other night
Lavish Lee told me that I'm all these people listen to
She said they love me unconditional
Imagine how it feel to watch another nigga at the top
You know that if you wasn't you, you would be dissin' you, dawg
Damn, okay, from that perspective
I see what you're talkin' 'bout, no way to soften that
'Cause me, I was tryna find out where I lost 'em at
But maybe I ain't lose 'em at all
Maybe I keep movin' forward and they're just stagnant
They ain't movin' at all
But when they need a favor, who do they call?
Maybe I'm searchin' for the problems
Askin' what was said and who was involved
Too focused on people's feedback and provin' 'em wrong
They say the shoe can always fit, no matter whose foot it's on
These days feel like I'm squeezin' in 'em
Whoever wore 'em before just wasn't thinkin' big enough
I'm 'bout to leave 'em with 'em
'Cause if I run in the game in these, man, the seams are splittin'
No pun intended but they're smellin' defeat in the air
Headed where nobody took it, who meetin' me there?
They tell him that he's talkin' crazy but he doesn't care
Bein' humble don't work as well as bein' aware
Listen up, boy, you're better off eavesdroppin'
We already got spring 2015 poppin'
PND droppin', Reps-up P droppin'
Majid Jordan droppin', OB droppin', not to mention me droppin'
Feel like we paid the refs off, man, we fixed the game
Me and Noel been at it before Twitter names
Yeah, been on the move like the lease is up
And I can't even name one person that's keepin' up
Damn, fuck how it was in the past tense
Ask yourself, how do we match up now?
'Cause I'm only 27 and I'm only gettin' better
If I haven't passed you yet, watch me catch up now, for real

[Outro: James Blake]
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up
Could it be the way that I'll catch up"
1,2 On,"('Tinashe', 'ScHoolboy Q')","['Redwine', 'Marley Waters', 'Mustard']",898347,65,2014,"[Produced by DJ Mustard]

[Verse 1: Tinashe]
Give me all that you got now
Make you want me cause I'm hot now
I'm gone, so faded I'm on one
Bang bang, pop off like a long gun

[Pre-hook: Tinashe]
If you a lame, nigga you ain't making no noise
Get faded, turn up with the big boys
Live fast, die young that's my choice
Get money, get money like an invoice
We can mob all in the whip
Make the money make a grip
I be stuntin' with my clique
Getting faded 'till we trip (oh)

[Hook: Tinashe]
Man, I love to get on
I love to get 2 on
When the drink be too strong
When the tree be way too strong
Get faded, turn up, bruh
Pour it on up 'till I can't even think no more
Get ratchet, go dumb then go more dumb then
We can keep it lit, let's roll
I love to get 2 on
Let-let... let's roll
I love to get 2 on, I love to
Let-let-let's roll
Let-let-let's roll

[Verse 2: Tinashe]
Yea we can get active
And all my bitches attractive
We go, you know who we are now
Get high, hotbox in my car now

[Pre-hook: Tinashe]
If you a lame, nigga you ain't making no noise
Get faded, turn up with the big boys
Live fast, die young that's my choice
Get money, get money like an invoice
We can mob all in the whip
Make the money make a grip
I be stuntin' with my clique
Getting faded 'till we trip (oh)

[Hook: Tinashe]
Man, I love to get on
I love to get 2 on
When the drink be too strong
When the tree be way too strong
Get faded, turn up, bruh
Pour it on up 'till I can't even think no more
Get ratchet, go dumb then go more dumb then
We can keep it lit, let's roll
I love to get 2 on
Let-let... let's roll
I love to get 2 on, I love to
Let-let-let's roll
Let-let-let's roll

[Verse 3: ScHoolboy Q]
Uh, pull your panties down from under you
Beat that pussy up, make you wanna holla Q
Drunk than a bitch, high on that Mary Jane
Pussy in my mouth, pussy on my pinky ring
Nasty, baby me do it in the backseat
Swear this marijuana keep it cracking
Lights, camera, action, I ain't doing nothing 'til the cash in
Money, money, money, weed, fashion
Draped up and dripped out, keep the trees passing
Girl toot that thing up, fuck me, fuck rapping
Days of our lives so clap, clap that cake
Spreading your thighs I pump, pump your brakes, ay

[Bridge: Tinashe]
Just give me the trees and we can smoke it ya
Just give me the drink and we can pour it ya
And my enemies, they see me living now
And if you roll with me, then you'll be winning now, oh

[Hook: Tinashe]
Man, I love to get on
I love to get 2 on
When the drink be too strong
When the tree be way too strong
Get faded, turn up, bruh
Pour it on up 'till I can't even think no more
Get ratchet, go dumb then go more dumb then
We can keep it lit, let's roll
I love to get 2 on
Let-let... let's roll
I love to get 2 on, I love to
Let-let-let's roll
Let-let-let's roll"
2,23,"('Mike WiLL Made-It', 'Miley Cyrus', 'Wiz Khalifa', 'Juicy J')","['P-Nasty', 'Mike WiLL Made-It']",2112009,90,2014,"[Chorus: Miley Cyrus]
I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on

[Post-Chorus: Chorus Juicy J]
J’s on my feet
J’s on my feet
J’s on my feet
So get like me
J’s on my feet
J’s on my feet
J’s on my feet
So get like me

[Verse 1: Miley Cyrus]
I be in the club standing on the couch
In them Wolf Grey's like it's my house
Drinking out the bottle, I got no respect
Looking like a model, who just got a check
I back it up, cause I don't give a fuck
If you're a lame, that's a shame you can't hang with us
I'm MC Hammer fly, you can't touch
J's so fly I should work at Flight Club

[Pre-Chorus: Miley Cyrus]
Put on my J's and dance the whole night away
I’m naughty by nature like I’m Hip-Hop Hooray
With my hands in the sky, I wave ‘em from side to side
My feet on the floor, I’m ’bout to turup now

[Chorus: Miley Cyrus]
I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on

[Post-Chorus: Juicy J]
J’s on my feet
J’s on my feet
J’s on my feet
So get like me
J’s on my feet
J’s on my feet
J’s on my feet
So get like me

[Verse 2: Wiz Khalifa]
I be rockin' J's or
I be rockin' Taylors
I got lots of flavors, my kick game is major
More kicks than the players, call me up I'm scorin'
Hit it like a free throw, tongue out like I'm Jordan
Smiley, Miley, come swing the thing right by me
Gotta a joint if you wanna get stoned, got choppers if they wanna try me
Pro athlete I'm not no wannabe
Waitress asked how many bottles? I said 23

[Pre-Chorus: Miley Cyrus]
Put on my J's and dance the whole night away
I’m naughty by nature like I’m Hip-Hop Hooray
With my hands in the sky, I wave ‘em from side to side
My feet on the floor, I’m ’bout to turup now

[Chorus: Miley Cyrus]
I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on

[Post-Chorus: Juicy J]
J’s on my feet
J’s on my feet
J’s on my feet
So get like me
J’s on my feet
J’s on my feet
J’s on my feet
So get like me

[Verse 3: Juicy J]
I stay showin' out, my kick game is a beast
I got thirty pair of J's that ain't never been released
Flu game 12, Space Jam 11's
On the hype beast sick, they gon' need a paramedic
Turn up, turn up, turn up, I get trippy, I stay live
All this purple in my cup, match them grape 5's
I'm so high, I got three bitches that go bi
I'm so fly, I'm gettin' head like a blow dryer

[Pre-Chorus: Miley Cyrus]
Put on my J's and dance the whole night away
I’m naughty by nature like I’m Hip-Hop Hooray
With my hands in the sky, I wave ‘em from side to side
My feet on the floor, I’m ’bout to turup now

[Chorus: Miley Cyrus]
I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on

[Post-Chorus: Juicy J]
J’s on my feet
J’s on my feet
J’s on my feet
So get like me
J’s on my feet
J’s on my feet
J’s on my feet
So get like me"
3,A Sky Full Of Stars,"('Coldplay',)","['Avicii', 'Rik Simpson', 'Daniel Green', 'Paul Epworth', 'Coldplay']",361198,51,2014,"[Verse 1]
'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path

[Hook]
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you

[Verse 2]
'Cause you're a sky, 'cause you're a sky full of stars
I wanna die in your arms, oh, oh, oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart, oh

[Hook]
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I see you
I think I see you

[Outro]
'Cause you're a sky, you're a sky full of stars
Such a heavenly view
You're such a heavenly view
(Yeah, yeah, yeah, ooh)"
4,Adore You,"('Miley Cyrus',)",['Oren Yoel'],313712,100,2014,"[Intro]
Oh-oh, hey, oh-oh

[Verse 1]
Baby, baby, yeah, are you listening?
Wondering where you've been all my life
I just started living
Ooh-oh, baby, are you listening?
Oh-oh

[Chorus]
When you say you love me
Know I love you more
And when you say you need me
Know I need you more
Boy, I adore you
I adore you

[Verse 2]
Baby, can you hear me
When I'm crying out for you?
I'm scared, oh, so scared
But when you're near me
I feel like I'm standing with an army
Of men armed with weapons

[Chorus]
When you say you love me
Know I love you more
And when you say you need me
Know I need you more
Boy, I adore you
I adore you

[Bridge]
I love lying next to you
I could do this for eternity, you and me
We're meant to be in holy matrimony
God knew exactly what He was doing
When He led me to you

[Chorus]
When you say you love me
Know I love you more (I love you more)
And when you say you need me
Know I need you more
Boy, I adore you
I adore you

[Chorus]
When you say you love me
Know I love you more
And when you say you need me
Know I need you more
Boy, I adore you
I adore you"
5,Ain't It Fun,"('Paramore',)","['Taylor York', 'Justin Meldal-Johnsen']",227924,47,2014,"[Verse 1]
I don't mind
Letting you down easy, but just give it time
If it don't hurt now just wait, just wait a while
You're not the big fish in the pond no more
You are what they're feeding on

[Pre-Chorus 1]
So what are you gonna do
When the world don't orbit around you
So what are you gonna do
When the world don't orbit around you

[Chorus]
Ain't it fun
Living in the real world
Ain't it good
Being all alone

[Verse 2]
Where you're from
You might be the one who's running things
Well you could ring anybody's bell and get what you want
You see it's easy to ignore trouble
When you're living in a bubble

[Pre-Chorus 2]
So what are you gonna do
When the world don't orbit around you
So what are you gonna do
When nobody wants to fool with you

[Chorus]
Ain't it fun
Living in the real world
Ain't it good
Being all alone

[Extended Chorus]
Ain't it good to be on your own
Ain't it fun, you can't count on no one
Ain't it good to be on your own
Ain't it fun, you can't count on no one
Ain't it fun
Living in the real world

[Bridge]
Don't go crying to your mama
'Cause you're on your own in the real world
Don't go crying to your mama
'Cause you're on your own in the real world
Don't go crying to your mama
'Cause you're on your own in the real world
Don't go crying to your mama
'Cause you're on your own in the real world

Ain't it fun, ain't it fun
Baby now you're one of us
Ain't it fun, ain't it fun, ain't it fun

[Chorus]
Ain't it fun
Living in the real world
Ain't it good, ain't it good
Being all alone
Ain't it fun
Living in the real world
('Cause the world don't orbit around you)
Ain't it good, ain't it good
Being all alone

[Outro]
Don't go crying to your mama (To your mother)
'Cause you're on your own in the real world (Don't go crying)
Don't go crying to your mama (To your mama)
'Cause you're on your own in the real world
Don't go crying to your mama
'Cause you're on your own in the real world (This is the real world)
Don't go crying to your mama
'Cause you're on your own in the real world
This is the real world
This is the real world
Don't go crying to your mama
'Cause you're on your own in the real world
Don't go crying to your mama
'Cause you're on your own in the real world
Don't go crying to your mama
'Cause you're on your own in the real world
Don't go crying to your mama
'Cause you're on your own in the real world
Don't go crying
Don't go crying (You're on your own)
Don't go crying..."
6,All About That Bass,"('Meghan Trainor',)",['Kevin Kadish'],683723,8,2014,"[Chorus]
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass

[Verse 1]
Yeah, it's pretty clear, I ain't no size two
But I can shake it, shake it, like I'm supposed to do
'Cause I got that boom boom that all the boys chase
And all the right junk in all the right places
I see the magazines working that Photoshop
We know that shit ain't real, come on now, make it stop
If you got beauty beauty just raise 'em up
'Cause every inch of you is perfect from the bottom to the top

[Pre-Chorus]
Yeah, my momma she told me don't worry about your size
She says, boys like a little more booty to hold at night
(That booty, booty, uh, that booty booty)
You know I won't be no stick-figure, silicone Barbie doll
So, if that's what's you're into then go ahead and move along

[Chorus]
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass

[Verse 2]
Hey, I'm bringing booty back
Go ahead and tell them skinny bitches that
No, I'm just playing I know you think you're fat
But I'm here to tell you
Every inch of you is perfect from the bottom to the top

[Pre-Chorus]
Yeah, my momma she told me don't worry about your size
She says, boys like a little more booty to hold at night
(That booty, booty, uh, that booty booty)
You know I won't be no stick-figure, silicone Barbie doll
So, if that's what's you're into then go ahead and move along

[Chorus]
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass

[Click here to read about when Meghan Trainor met her co-writer on this song, Kevin Kadish]"
7,All Of Me,"('John Legend',)","['John Legend', 'Dave Tozer']",2951600,3,2014,"[Verse 1]
What would I do without your smart mouth?
Drawin' me in and you kickin' me out
You've got my head spinnin', no kiddin'
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

[Pre-Chorus]
My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

[Chorus]
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

[Post-Chorus]
'Cause I give you all of me
And you give me all of you, oh-oh

[Verse 2]
How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you

[Pre-Chorus]
My head's under water, but I'm breathin' fine
You're crazy and I'm out of my mind

[Chorus]
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

[Post-Chorus]
'Cause I give you all of me
And you give me all of you, oh-oh

[Bridge]
Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard

[Chorus]
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

[Post-Chorus]
'Cause I give you all of me
And you give me all of you

[Outro]
I give you all of me
And you give me all of you, oh-oh"
8,Am I Wrong,"('Nico', 'Vinz')",['William Larsen'],565717,14,2014,"[Intro]
Ooh, ooh
Ooh, ooh

[Verse 1: Vinz]
Am I wrong for thinkin' out the box from where I stay?
Am I wrong for sayin' that I choose another way?
I ain't tryin' to do what everybody else doin'
Just 'cause everybody doin' what they all do
If one thing I know - I'll fall, but I'll grow
I'm walking down this road of mine, this road that I call home

[Chorus: Vinz]
So am I wrong
For thinkin' that we could be something for real?
Now am I wrong
For tryin' to reach the things that I can't see?
But that's just how I feel (Ooh, ooh)
That's just how I feel (Ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (Ooh, ooh, see, see)

[Verse 2: Nico]
Am I trippin' for having a vision?
My prediction - I'ma be on top of the world
Walk your walk, and don't look back
Always do what you decide
Don't let them control your life
That's just how I feel, oh
Fight for yours, and don't let go
Don't let them compare you, no
Don't worry, you're not alone
That's just how we feel

[Chorus: Vinz]
Am I wrong (Am I wrong?)
For thinkin' that we could be something for real?
(Oh, yeah, yeah, yeah, yeah, oh)
Now am I wrong (Am I wrong?)
For tryin' to reach the things that I can't see?
(Oh, yeah, yeah, yeah, yeah)
But that's just how I feel (Ooh, ooh)
That's just how I feel (Ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (Ooh, ooh, see, see)

[Bridge: Nico]
If you tell me I'm wrong, wrong
I don't wanna be right, right
If you tell me I'm wrong, wrong
I don't wanna be right
If you tell me I'm wrong, wrong
I don't wanna be right, right
If you tell me I'm wrong, wrong
I don't wanna be right

[Chorus: Vinz]
Am I wrong
For thinkin' that we could be something for real?
Now am I wrong
For tryin' to reach the things that I can't see?
But that's just how I feel (Ooh, ooh)
That's just how I feel (Ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (Ooh, ooh, see, see)

So am I wrong (Am I wrong?)
For thinkin' that we could be something for real?
(Oh, yeah, yeah, yeah, yeah, oh)
Now am I wrong (Am I wrong?)
For trying to reach the things that I can't see?
(Oh, yeah, yeah, yeah, yeah)
But that's just how I feel  (Ooh, ooh)
That's just how I feel  (Ooh, ooh)
That's just how I feel
Trying to reach the things that I can't see (Ooh, ooh, see, see)"
9,American Kids,"('Kenny Chesney',)","['Buddy Cannon', 'Kenny Chesney']",33471,73,2014,"[Verse 1]
Doublewide Quick Stop midnight T-top
Jack in her Cherry Coke town
Momma and Daddy put their roots right here
‘Cause this is where the car broke down
Yellow dawn school bus kickin’ up red dust
Pickin’ us up by a barbed wire fence
MTV on the RCA, no A/C in the vents

[Chorus]
We were Jesus saved me, blue jean baby
Born in the USA
Trailer park truck stop, faded little map dots
New York to LA
We were teenage dreamin’, front seat leanin’
Baby, come give me a kiss
Put me on the cover of the Rolling Stone
Uptown down home American kids
Growin’ up in little pink houses
Makin’ out on living room couches
Blowin’ that smoke on a Saturday night
A little messed up, but we’re all alright

[Verse 2]
Baptist church parkin’ lot, tryin’ not to get caught
Take her home and give her your jacket
Makin’ it to second base, but sayin’ you went all the way
Monday afternoon at practice
Sister's got a boyfriend Daddy doesn’t like
Now he’s sittin’ out back, .30-.30 in his lap
In the blue bug zapper light

[Chorus]
We were Jesus saved me, blue jean baby
Born in the USA
Trailer park truck stop, faded little map dots
New York to LA
We were teenage dreamin’, front seat leanin’
Baby, come give me a kiss
Put me on the cover of the Rolling Stone
Uptown down home American kids
Growin’ up in little pink houses
Makin’ out on living room couches
Blowin’ that smoke on a Saturday night
A little messed up, but we’re all alright

We were Jesus saved me, blue jean baby
Born in the USA
Trailer park truck stop, faded little map dots
New York to LA
We were teenage dreamin’, front seat leanin’
Baby, come give me a kiss
Put me on the cover of the Rolling Stone
Uptown down home American kids
Growin’ up in little pink houses
Makin’ out on living room couches
Blowin’ that smoke on a Saturday night
A little messed up, but we’re all alright"
